Vehicle Number,Vehicle ID,Violation Type,Timestamp,Frame Number,Location,Time Slot,Latitude,Longitude,Confidence Score,Riders Count
UNKNOWN,-1,No Helmet,2026-06-12 21:48:34,66,Junction A,21:00-22:00,18.5204,73.8567,0.5793,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:34,66,Junction A,21:00-22:00,18.5204,73.8567,0.3084,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:37,69,Junction A,21:00-22:00,18.5204,73.8567,0.5842,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:38,72,Junction A,21:00-22:00,18.5204,73.8567,0.5764,0
UNKNOWN,4,Triple Riding,2026-06-12 21:48:40,75,Junction A,21:00-22:00,18.5204,73.8567,0.618,3
UNKNOWN,-1,No Helmet,2026-06-12 21:48:40,75,Junction A,21:00-22:00,18.5204,73.8567,0.5278,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:42,78,Junction A,21:00-22:00,18.5204,73.8567,0.4492,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:44,81,Junction A,21:00-22:00,18.5204,73.8567,0.4132,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:46,84,Junction A,21:00-22:00,18.5204,73.8567,0.4395,0
UNKNOWN,-1,No Helmet,2026-06-12 21:48:49,87,Junction A,21:00-22:00,18.5204,73.8567,0.5133,0
UNKNOWN,7,Triple Riding,2026-06-12 21:50:53,33,Junction A,21:00-22:00,18.5204,73.8567,0.6562,3
UNKNOWN,-1,No Helmet,2026-06-12 21:50:59,39,Junction A,21:00-22:00,18.5204,73.8567,0.3054,0
UNKNOWN,-1,No Helmet,2026-06-12 21:51:02,42,Junction A,21:00-22:00,18.5204,73.8567,0.3561,0
UNKNOWN,-1,No Helmet,2026-06-12 21:51:02,42,Junction A,21:00-22:00,18.5204,73.8567,0.2537,0
UNKNOWN,7,Triple Riding,2026-06-12 21:51:23,66,Junction A,21:00-22:00,18.5204,73.8567,0.6255,3
UNKNOWN,7,Triple Riding,2026-06-12 21:51:40,96,Junction A,21:00-22:00,18.5204,73.8567,0.5789,3
UNKNOWN,7,Triple Riding,2026-06-12 21:52:06,129,Junction A,21:00-22:00,18.5204,73.8567,0.476,3
UNKNOWN,92,Triple Riding,2026-06-12 21:52:11,135,Junction A,21:00-22:00,18.5204,73.8567,0.4464,3
UNKNOWN,7,Triple Riding,2026-06-12 21:52:51,189,Junction A,21:00-22:00,18.5204,73.8567,0.3884,3
UNKNOWN,179,Triple Riding,2026-06-12 21:54:15,306,Junction A,21:00-22:00,18.5204,73.8567,0.5744,3
UNKNOWN,224,Triple Riding,2026-06-12 21:54:18,309,Junction A,21:00-22:00,18.5204,73.8567,0.6579,3
UNKNOWN,2,Triple Riding,2026-06-12 21:59:00,9,bandra,21:00-22:00,18.5204,73.8567,0.5629,3
UNKNOWN,25,Triple Riding,2026-06-12 21:59:20,48,bandra,21:00-22:00,18.5204,73.8567,0.425,4
UNKNOWN,53,Triple Riding,2026-06-12 22:00:04,99,bandra,22:00-23:00,18.5204,73.8567,0.4588,3
UNKNOWN,12,Triple Riding,2026-06-12 23:04:00,9,Junction A,23:00-00:00,18.5204,73.8567,0.4677,3
UNKNOWN,80,Triple Riding,2026-06-12 23:04:20,69,Junction A,23:00-00:00,18.5204,73.8567,0.6297,3
UNKNOWN,127,Triple Riding,2026-06-12 23:04:22,78,Junction A,23:00-00:00,18.5204,73.8567,0.652,3
UNKNOWN,127,Triple Riding,2026-06-12 23:05:04,123,Junction A,23:00-00:00,18.5204,73.8567,0.574,3
UNKNOWN,2,Triple Riding,2026-06-12 23:10:25,3,Junction A,23:00-00:00,18.5204,73.8567,0.6221,3
UNKNOWN,2,Triple Riding,2026-06-12 23:10:39,3,Junction A,23:00-00:00,18.5204,73.8567,0.6221,3
UNKNOWN,24,Triple Riding,2026-06-12 23:11:09,48,Junction A,23:00-00:00,18.5204,73.8567,0.425,4
UNKNOWN,51,Triple Riding,2026-06-12 23:11:31,84,Junction A,23:00-00:00,18.5204,73.8567,0.5612,3
UNKNOWN,51,Triple Riding,2026-06-12 23:11:52,129,Junction A,23:00-00:00,18.5204,73.8567,0.5995,3
UNKNOWN,5,Triple Riding,2026-06-12 23:13:15,3,Junction A,23:00-00:00,18.5204,73.8567,0.8165,3
UNKNOWN,6,Triple Riding,2026-06-12 23:13:15,3,Junction A,23:00-00:00,18.5204,73.8567,0.572,7
UNKNOWN,7,Triple Riding,2026-06-12 23:13:15,3,Junction A,23:00-00:00,18.5204,73.8567,0.5062,4
UNKNOWN,21,Triple Riding,2026-06-12 23:13:16,3,Junction A,23:00-00:00,18.5204,73.8567,0.8165,3
UNKNOWN,22,Triple Riding,2026-06-12 23:13:16,3,Junction A,23:00-00:00,18.5204,73.8567,0.572,7
UNKNOWN,23,Triple Riding,2026-06-12 23:13:16,3,Junction A,23:00-00:00,18.5204,73.8567,0.5062,4
UNKNOWN,5,Triple Riding,2026-06-12 23:13:28,3,Junction A,23:00-00:00,18.5204,73.8567,0.8165,3
UNKNOWN,6,Triple Riding,2026-06-12 23:13:28,3,Junction A,23:00-00:00,18.5204,73.8567,0.572,7
UNKNOWN,7,Triple Riding,2026-06-12 23:13:28,3,Junction A,23:00-00:00,18.5204,73.8567,0.5062,4
UNKNOWN,14,Triple Riding,2026-06-12 23:14:59,21,Junction A,23:00-00:00,18.5204,73.8567,0.4817,3
UNKNOWN,6,Triple Riding,2026-06-12 23:15:38,48,Junction A,23:00-00:00,18.5204,73.8567,0.7664,5
UNKNOWN,7,Triple Riding,2026-06-12 23:15:51,60,Junction A,23:00-00:00,18.5204,73.8567,0.6834,3
UNKNOWN,5,Triple Riding,2026-06-12 23:21:46,3,Junction A,23:00-00:00,18.5204,73.8567,0.8165,3
UNKNOWN,6,Triple Riding,2026-06-12 23:21:46,3,Junction A,23:00-00:00,18.5204,73.8567,0.572,7
UNKNOWN,7,Triple Riding,2026-06-12 23:21:46,3,Junction A,23:00-00:00,18.5204,73.8567,0.5062,4
UNKNOWN,21,Triple Riding,2026-06-12 23:21:46,3,Junction A,23:00-00:00,18.5204,73.8567,0.8165,3
